"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Security Rules"
"L4849","m_descriptorImageMap","org.eclipse.wb.swt.ResourceManager.m_descriptorImageMap;Ljava/util/Map;","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","51","2","51","106","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4880","m_decoratedImageMap","org.eclipse.wb.swt.ResourceManager.m_decoratedImageMap;[Ljava/util/Map;","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","100","2","101","96","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4933","m_URLImageMap","org.eclipse.wb.swt.ResourceManager.m_URLImageMap;Ljava/util/Map;","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","211","2","211","81","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4952","m_designTimePluginResourceProvider","org.eclipse.wb.swt.ResourceManager.m_designTimePluginResourceProvider;Lorg/eclipse/wb/swt/ResourceManager$PluginResourceProvider;","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","221","2","221","82","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5034","m_colorMap","org.eclipse.wb.swt.SWTResourceManager.m_colorMap;Ljava/util/Map;","L4843","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\SWTResourceManager.java","49","2","49","72","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5051","m_imageMap","org.eclipse.wb.swt.SWTResourceManager.m_imageMap;Ljava/util/Map;","L4843","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\SWTResourceManager.java","108","2","108","78","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5081","MISSING_IMAGE_SIZE","org.eclipse.wb.swt.SWTResourceManager.MISSING_IMAGE_SIZE;I","L4843","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\SWTResourceManager.java","171","2","171","51","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4913","TOP_LEFT","org.eclipse.wb.swt.SWTResourceManager.TOP_LEFT;I","L4843","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\SWTResourceManager.java","188","2","188","39","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4915","TOP_RIGHT","org.eclipse.wb.swt.SWTResourceManager.TOP_RIGHT;I","L4843","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\SWTResourceManager.java","192","2","192","40","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4917","BOTTOM_LEFT","org.eclipse.wb.swt.SWTResourceManager.BOTTOM_LEFT;I","L4843","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\SWTResourceManager.java","196","2","196","42","0","0","0","0","0","0","0","0","0","0","0","0","0"
