"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L4841","ResourceManager","org.eclipse.wb.swt.ResourceManager","L4836","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","45","1","415","2","0.212856","3","15","4","0.132075","0.213953","49","46","1","4","4","44","2","8","14","4","18","1","0.477212","178","145","12","0","0.457071","181","1","1","0","0","1","195","351","16","21","4","10","14","0","11","0","32","117","4","27","0","215","371","16","23","4","12","17","0","12","0","35","127","4","28","0","0","8","52","9","12","4","28","7","0","3","0","1","15","0","16","0","0","1","0","0","6"
"L4843","SWTResourceManager","org.eclipse.wb.swt.SWTResourceManager","L4836","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\SWTResourceManager.java","43","1","447","2","0.14437","2","9","2","0.0666667","0.122642","27","26","1","5","5","52","0","14","20","0","18","1","0.49763","210","195","17","0","0.49763","210","0","0","1","1","0","212","405","12","11","12","11","18","4","16","0","18","129","4","16","0","212","405","12","11","12","11","18","4","16","0","18","129","4","16","0","0","1","28","4","20","3","14","18","0","3","0","2","2","0","1","0","0","1","0","0","9"
"L238","Control<TModel extends IModel, TView extends IView>","org.eclipse.sed.ifl.control.Control","L230","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\Control.java","7","1","37","2","0","0","0","0","0","0","0","0","1","1","1","5","6","8","28","4","8","0","0.0833333","2","0","0","4","0.0833333","2","3","4","7","7","2","22","31","3","3","1","1","4","0","3","1","8","8","0","4","2","22","31","3","3","1","1","4","0","3","1","8","8","0","4","2","0","0","12","0","2","0","0","2","0","0","0","0","11","0","0","1","0","0","0","0","0"
"L267","ModelNotSetException","org.eclipse.sed.ifl.control.ModelNotSetException","L230","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\ModelNotSetException.java","3","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L240","ViewlessControl<TModel extends IModel>","org.eclipse.sed.ifl.control.ViewlessControl","L230","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\ViewlessControl.java","7","1","51","2","0","0","0","0","0","0","0","0","1","1","1","9","4","12","31","2","8","0","0.0540541","2","0","0","4","0.0540541","2","2","2","5","12","1","35","45","2","2","2","2","6","0","3","1","6","13","0","3","1","35","45","2","2","2","2","6","0","3","1","6","13","0","3","1","0","0","15","1","4","1","0","3","0","0","0","1","15","0","0","0","0","0","0","0","0"
"L1740","ViewNotSetException","org.eclipse.sed.ifl.control.ViewNotSetException","L230","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\ViewNotSetException.java","3","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L1164","BasicIflMethodScoreHandler","org.eclipse.sed.ifl.core.BasicIflMethodScoreHandler","L1743","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\core\BasicIflMethodScoreHandler.java","16","1","71","2","0","0","0","0","0","0","0","0","6","0","0","8","9","1","2","5","13","0","0.0444444","2","0","0","9","0.0444444","2","1","1","0","0","1","43","56","4","1","2","1","8","0","8","0","11","7","0","11","0","43","56","4","1","2","1","8","0","8","0","11","7","0","11","0","0","0","18","0","3","0","0","2","1","0","0","1","17","0","0","0","0","0","0","0","0"
"L1917","Activator","org.eclipse.sed.ifl.ide.Activator","L1798","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\ide\Activator.java","19","1","96","2","0","0","0","0","0","0","0","0","1","1","1","14","6","6","14","4","15","0.181818","0.078125","5","4","2","9","0.078125","5","0","0","0","0","0","59","78","5","4","5","4","11","1","10","2","11","25","1","10","2","59","78","5","4","5","4","11","1","10","2","11","25","1","10","2","0","0","29","5","3","3","0","3","0","0","0","2","25","0","0","0","0","0","0","0","4"
"L3315","EmptyModel","org.eclipse.sed.ifl.model.EmptyModel","L3309","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\model\EmptyModel.java","3","1","13","2","0","0","0","0","0","0","0","0","2","0","0","2","1","10","2","0","2","0","0","0","0","0","3","0","0","2","2","10","10","1","8","11","0","0","0","0","2","0","2","0","2","0","0","2","0","8","11","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","8","2","2","0","0","2","1","0","0","0","7","2","0","0","0","0","0","0","0"
"L898","FilterModel","org.eclipse.sed.ifl.model.FilterModel","L3309","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\model\FilterModel.java","3","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","3","3","0","0","1","2","3","0","0","0","0","0","0","0","0","2","0","0","2","0","2","3","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
