"ID","Name","Component","CA","CCO","CE","CEE","CEG","CI","CLLOC","CR","CV","NCR","Clone Metric Rules"
"C134","0~CloneClass","L103","1","3","49","16.3333","0.612245","3","10","10","1","0.111111","1"
"C137","4~CloneClass","L103","1","2","37","8.22222","0.783784","2","14.5","6.44444","1","0.111111","0"
"C156","7~CloneClass","L103","1","2","25","5.55556","1.52","2","19","8.44444","1","0.111111","0"
"C163","10~CloneClass","L103","1","2","13","2.88889","2.69231","2","17.5","7.77778","1","0.111111","0"
"C164","13~CloneClass","L103","1","3","13","4.33333","2.84615","3","12.3333","12.3333","1","0.111111","1"
"C171","17~CloneClass","L103","1","3","118","39.3333","0.483051","3","19","19","1","0.111111","2"
"C177","21~CloneClass","L103","1","2","17","3.77778","2","2","17","7.55556","1","0.111111","0"
"C179","24~CloneClass","L103","1","3","79","26.3333","0.417722","3","11","11","1","0.111111","1"
"C180","28~CloneClass","L103","1","5","126","70","0.396825","5","10","27.7778","1","0.111111","2"
"C185","34~CloneClass","L103","1","4","41","9.11111","1.07317","2","11","9.77778","1","0.111111","0"
"C186","37~CloneClass","L103","1","5","11","9.77778","5.36364","5","11.8","52.4444","1","0.177778","2"
"C187","43~CloneClass","L103","1","2","17","3.77778","2","2","17","7.55556","1","0.111111","0"
"C188","46~CloneClass","L103","1","3","22","7.33333","2.18182","3","16","16","1","0.111111","1"
"C189","50~CloneClass","L103","1","2","21","4.66667","2.14286","2","22.5","10","1","0.111111","0"
"C213","53~CloneClass","L103","1","14","19","4.22222","7.36842","2","10","31.1111","1","0.111111","1"
"C230","56~CloneClass","L103","1","10","37","8.22222","4.32432","2","16","35.5556","1","0.111111","0"
"C231","59~CloneClass","L103","1","12","43","14.3333","3.34884","3","12","48","1","0.111111","2"
"C252","63~CloneClass","L103","1","4","41","9.11111","1.12195","2","11.5","10.2222","1","0.111111","0"
"C264","66~CloneClass","L103","1","10","5","2.22222","24","2","12","53.3333","1","0.222222","1"
"C282","69~CloneClass","L103","1","2","117","26","0.307692","2","18","8","1","0.111111","1"
"C301","72~CloneClass","L103","1","6","5","1.11111","13.2","2","11","14.6667","1","0.111111","0"
"C304","75~CloneClass","L103","1","2","37","8.22222","0.972973","2","18","8","1","0.111111","0"
"C323","78~CloneClass","L103","1","4","93","68.8889","0.55914","4","13","38.5185","1","0.185185","2"
"C332","83~CloneClass","L103","1","14","9","10","24.8889","2","16","248.889","1","0.555556","2"
"C333","86~CloneClass","L103","1","21","27","36","9.33333","3","12","336","1","0.444444","3"
"C337","90~CloneClass","L103","1","2","185","41.1111","0.108108","2","10","4.44444","1","0.111111","1"
"C338","93~CloneClass","L103","1","2","45","10","0.444444","2","10","4.44444","1","0.111111","0"
"C343","96~CloneClass","L103","1","4","5","2.22222","8.8","2","11","19.5556","1","0.222222","1"
"C344","99~CloneClass","L103","1","8","26","11.5556","4.61538","2","15","53.3333","1","0.222222","1"
