"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L4839","ResourceManager.java","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/wb/swt/ResourceManager.java","L4838","35","0","13","1","232","415"
"L4840","SWTResourceManager.java","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/wb/swt/SWTResourceManager.java","L4838","35","0","17","0","229","447"
"L232","Control.java","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/control/Control.java","L231","2","0","0","4","25","38"
"L233","IControl.java","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/control/IControl.java","L231","1","0","0","2","7","10"
"L234","IViewlessControl.java","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/control/IViewlessControl.java","L231","1","0","0","2","6","9"
"L235","ModelNotSetException.java","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/control/ModelNotSetException.java","L231","1","0","0","1","4","6"
"L236","ViewlessControl.java","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/control/ViewlessControl.java","L231","4","0","0","4","38","52"
"L237","ViewNotSetException.java","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/control/ViewNotSetException.java","L231","1","0","0","1","4","6"
"L1745","BasicIflMethodScoreHandler.java","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/core/BasicIflMethodScoreHandler.java","L1744","1","0","0","9","55","72"
"L1787","IDisposable.java","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/general/IDisposable.java","L1786","1","0","0","3","5","7"
"L1788","IEmbeddable.java","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/general/IEmbeddable.java","L1786","1","0","0","2","5","8"
"L1789","IEmbedee.java","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/general/IEmbedee.java","L1786","1","0","0","2","4","6"
