"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L247","IControl<TModel extends IModel, TView extends IView>","org.eclipse.sed.ifl.control.IControl","L230","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\IControl.java","7","1","9","2","0","0","0","0","0","0","0","0","0","0","0","1","4","1","0","0","1","0","0","0","0","0","2","0","0","2","2","1","8","2","3","3","0","0","0","0","1","0","1","1","4","0","0","4","2","3","3","0","0","0","0","1","0","1","1","4","0","0","4","2","0","0","6","0","2","0","0","2","0","0","0","0","5","0","0","1","0","0","0","0","0"
"L574","IViewlessControl<TModel extends IModel>","org.eclipse.sed.ifl.control.IViewlessControl","L230","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\control\IViewlessControl.java","6","1","8","2","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0","0","1","0","0","0","0","0","2","0","0","1","1","2","14","1","3","3","0","0","0","0","1","0","1","1","3","0","0","3","1","3","3","0","0","0","0","1","0","1","1","3","0","0","3","1","0","0","5","0","1","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0"
"L570","IDisposable","org.eclipse.sed.ifl.general.IDisposable","L1785","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\general\IDisposable.java","3","1","6","2","0","0","0","0","0","0","0","0","0","0","0","2","0","6","4","0","2","0","0","0","0","0","3","0","0","0","0","4","37","0","4","4","0","0","0","0","2","0","2","0","2","0","0","2","0","4","4","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0"
"L1790","IEmbeddable","org.eclipse.sed.ifl.general.IEmbeddable","L1785","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\general\IEmbeddable.java","5","1","7","2","0","0","0","0","0","0","0","0","0","0","0","1","0","10","4","0","1","0","0","0","0","0","2","0","0","0","0","7","7","0","3","3","0","0","0","0","1","0","1","1","1","0","0","1","1","3","3","0","0","0","0","1","0","1","1","1","0","0","1","1","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"L1793","IEmbedee","org.eclipse.sed.ifl.general.IEmbedee","L1785","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\general\IEmbedee.java","3","1","5","2","0","0","0","0","0","0","0","0","0","0","0","1","1","7","0","0","1","0","0","0","0","0","2","0","0","0","0","7","7","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"L283","IModel","org.eclipse.sed.ifl.model.IModel","L3309","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\model\IModel.java","5","1","7","2","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","1","0","0","1","1","1","11","1","2","3","0","0","0","0","0","0","0","0","2","0","0","2","0","2","3","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L286","IView","org.eclipse.sed.ifl.view.IView","L4470","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\view\IView.java","5","1","6","2","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","1","0","0","1","1","1","9","1","2","2","0","0","0","0","0","0","0","0","2","0","0","2","0","2","2","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L4947","ResourceManager$PluginResourceProvider","org.eclipse.wb.swt.ResourceManager$PluginResourceProvider","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","215","2","217","3","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0.5","0.5","3","3","1","1","0.5","3","0","0","0","0","0","3","3","0","1","0","1","1","0","1","0","1","0","0","1","0","3","3","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L3758","ICodeChunkLocation","org.eclipse.sed.ifl.model.source.ICodeChunkLocation","L3750","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\model\source\ICodeChunkLocation.java","3","1","9","2","0","0","0","0","0","0","0","0","0","0","0","3","1","7","4","0","3","0","0","0","0","0","4","0","0","0","0","1","1","0","5","7","0","3","0","3","3","0","3","0","3","0","0","3","0","5","7","0","3","0","3","3","0","3","0","3","0","0","3","0","0","0","9","0","3","0","0","3","0","0","0","0","9","0","0","0","0","0","0","0","0"
"L139","IMethodDescription","org.eclipse.sed.ifl.model.source.IMethodDescription","L3750","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\sed\ifl\model\source\IMethodDescription.java","5","1","21","2","0","0","0","0","0","0","0","0","0","0","0","8","2","42","22","0","8","0","0","0","0","0","9","0","0","0","0","1","1","0","10","17","0","4","0","4","8","0","8","2","8","0","0","8","2","10","17","0","4","0","4","8","0","8","2","8","0","0","8","2","0","0","19","0","8","0","0","8","0","0","0","0","19","0","0","0","0","0","0","0","0"
