"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L4858","ImageDescriptor getImageDescriptor(Class<?> clazz, String path)","org.eclipse.wb.swt.ResourceManager.getImageDescriptor(LClass;LString;)LImageDescriptor;","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","62","2","64","3","0","0","0","0","0","0","0","0","37.9742","8.33333","462.555","59.8102","15","13","25.6975","55.5066","132.087","77.2437","163.842","95.8139","1","0","0","0","0","0.769231","10","10","0.769231","10","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4868","ImageDescriptor getImageDescriptor(String path)","org.eclipse.wb.swt.ResourceManager.getImageDescriptor(LString;)LImageDescriptor;","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","72","2","78","3","0","0","0","0","0","0","0","0","72","10","1166.92","110.839","27","20","64.8289","116.692","114.267","66.8226","133.811","78.2522","2","1","1","0","0","0.5","7","7","0.5","7","7","7","3","1","7","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4876","Image getImage(ImageDescriptor descriptor)","org.eclipse.wb.swt.ResourceManager.getImage(LImageDescriptor;)LImage;","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","86","2","96","3","0","0","0","0","0","0","0","0","67.7572","14.8571","2761.09","196.813","43","20","153.394","185.843","104.295","60.991","116.203","67.9552","3","1","1","1","0","0.388889","7","7","0.388889","7","11","11","7","1","11","11","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4888","Image decorateImage(Image baseImage, Image decorator)","org.eclipse.wb.swt.ResourceManager.decorateImage(LImage;LImage;)LImage;","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","111","2","113","3","0","0","0","0","0","0","0","0","27.6515","5.25","272.43","42.0246","15","11","15.135","51.8915","132.437","77.4485","164.16","96","1","0","0","0","1","0.75","9","9","0.75","9","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4892","Image decorateImage(Image baseImage, Image decorator, int corner)","org.eclipse.wb.swt.ResourceManager.decorateImage(LImage;LImage;I)LImage;","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","125","2","169","3","0.352459","1","4","1","0.333333","0.325581","15","14","203.441","34.5","30315","972.237","160","45","1684.17","878.696","81.591","47.714","81.6135","47.7272","6","1","1","1","0","0.333333","13","11","0.232143","13","26","28","19","3","43","45","29","0","0","14","0","2","0","6","2","0","0","0","8","0","0","0","0","0","0","0"
"L4920","void disposeImages()","org.eclipse.wb.swt.ResourceManager.disposeImages()V","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","173","2","202","3","0.477612","1","5","1","0.4","0.444444","12","12","165.231","30.3333","20853.5","757.623","131","38","1158.53","687.479","82.0257","47.9682","74.0286","43.2916","7","4","4","1","1","0.181818","6","3","0.181818","6","27","30","21","0","27","30","21","0","0","9","0","3","3","6","0","1","0","0","2","0","0","0","0","0","0","0"
"L4956","Image getPluginImage(Object plugin, String name)","org.eclipse.wb.swt.ResourceManager.getPluginImage(LObject;LString;)LImage;","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","233","2","244","3","0.896552","1","3","1","0.916667","0.909091","11","10","100.362","14.9286","2385.81","178.549","34","26","132.545","159.815","105.079","61.4498","121.185","70.8685","3","2","2","0","2","0.521739","12","11","0.521739","12","11","12","5","2","11","12","5","0","1","6","1","0","0","6","0","0","0","0","0","0","2","0","0","0","0","0"
"L2070","Image getPluginImage(String symbolicName, String path)","org.eclipse.wb.swt.ResourceManager.getPluginImage(LString;LString;)LImage;","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","254","2","264","3","0.962963","1","3","1","1","1","11","10","89.1384","13.3571","2020.99","159.849","33","24","112.277","151.304","106.908","62.5192","123.297","72.1033","3","2","2","14","2","0.5","10","9","0.5","10","10","11","5","2","10","11","5","0","1","6","1","0","0","6","0","0","0","0","0","0","2","0","0","0","0","0"
"L4962","Image getPluginImageFromUrl(URL url)","org.eclipse.wb.swt.ResourceManager.getPluginImageFromUrl(LURL;)LImage;","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","268","2","290","3","0","0","0","0","0","0","0","0","143.258","25.2","8974.28","431.85","70","34","498.571","356.122","90.2073","52.7528","86.2631","50.4462","4","4","4","2","1","0.192308","5","3","0.192308","5","21","23","12","1","21","23","12","0","2","3","2","1","1","0","0","1","0","0","2","0","4","0","0","0","0","0"
"L4984","ImageDescriptor getPluginImageDescriptor(Object plugin, String name)","org.eclipse.wb.swt.ResourceManager.getPluginImageDescriptor(LObject;LString;)LImageDescriptor;","L4841","L103","H:\project\clone class classification\SourceMeter-9.2.0-x64-Windows\Java\Demo\iFL4Eclipse\org.eclipse.sed.ifl.root\bundles\org.eclipse.sed.ifl\src\org\eclipse\wb\swt\ResourceManager.java","302","2","315","3","0","0","0","0","0","0","0","0","83.6515","11.4286","1654.33","139.878","32","23","91.9073","144.754","104.184","60.9265","119.853","70.0897","3","2","2","0","1","0.52","13","11","0.52","13","12","14","5","2","12","14","5","0","2","0","2","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
