"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0761722","29","156","73","0.064813","0.0739762","676","560","0","0","0","0","0","0.0665779","0.0808645","666","50","701","0","0","0","0","0","0","0","0","0","1","0","0","7570","10430","516","185","59","7","138","171","21","847","3019","46","121","7","21","48","724","74","0","26","2988","116","758","80","443","269","42","35","20","11","0","0"
"L104","org","org","L100","L103","0.0761722","29","156","73","0.064813","0.0739762","676","560","0","0","0","0","0","0.0665779","0.0808645","666","50","701","0","0","0","0","0","0","0","0","0","1","0","0","7570","10430","516","185","59","7","138","171","21","847","3019","46","121","7","21","47","724","74","0","26","2988","116","758","80","443","269","42","35","20","11","0","0"
"L105","eclipse","org.eclipse","L104","L103","0.0761722","29","156","73","0.064813","0.0739762","676","560","0","0","0","0","0","0.0665779","0.0808645","666","50","701","0","0","0","0","0","0","0","0","0","2","0","0","7570","10430","516","185","59","7","138","171","21","847","3019","46","121","7","21","46","724","74","0","26","2988","116","758","80","443","269","42","35","20","11","0","0"
"L106","sed","org.eclipse.sed","L105","L103","0.0716139","26","132","67","0.062709","0.0686454","600","488","0","0","0","0","0","0.0277778","0.0346279","255","20","700","0","0","0","0","0","0","0","0","0","1","0","0","7109","9568","500","182","57","7","136","148","20","812","2763","42","119","7","20","43","696","74","0","17","2908","103","726","73","418","266","42","18","20","9","0","0"
"L4835","wb","org.eclipse.wb","L105","L103","0.155203","3","24","6","0.0881671","0.156182","76","72","0","0","0","0","0","0.967742","0.47133","411","30","1","0","0","0","0","0","0","0","0","0","1","0","0","461","862","16","3","15","0","2","23","1","35","256","4","2","0","1","1","28","0","0","9","80","13","32","7","25","3","0","17","0","2","0","0"
"L107","ifl","org.eclipse.sed.ifl","L106","L103","0.0716139","26","132","67","0.062709","0.0686454","600","488","0","0","0","0","0","0.0277778","0.0346279","255","20","700","0","0","0","0","0","0","0","0","0","9","0","0","7109","9568","500","182","57","7","136","148","20","812","2763","42","119","7","20","42","696","74","0","17","2908","103","726","73","418","266","42","18","20","9","0","0"
"L4836","swt","org.eclipse.wb.swt","L4835","L103","0.155203","3","24","6","0.118072","0.198276","49","46","0.967742","0.47133","411","30","1","0.967742","0.47133","411","30","1","461","862","16","3","0","23","1","35","4","0","28","0","461","862","16","3","15","0","2","23","1","35","256","4","2","0","1","0","28","0","0","9","80","13","32","7","25","3","0","17","0","2","0","0"
"L108","bi","org.eclipse.sed.ifl.bi","L107","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0212766","1","0","15","0","0","0","0","0","0","0","0","0","1","0","0","46","68","4","2","18","0","2","3","1","12","7","0","2","0","1","2","12","0","0","0","32","0","5","0","2","2","1","0","0","0","0","0"
"L230","control","org.eclipse.sed.ifl.control","L107","L103","0.0586063","3","24","7","0","0","0","0","0","0.0454545","4","0","14","0","0.00905292","13","0","128","84","121","5","4","0","3","2","12","0","4","8","4","1423","1978","132","25","21","2","26","11","2","134","516","17","23","2","2","5","110","18","0","7","435","26","185","29","100","80","2","2","0","5","0","0"
"L1743","core","org.eclipse.sed.ifl.core","L107","L103","0","0","0","0","0","0","0","0","0","0.0350877","2","0","9","0","0.0350877","2","0","9","55","72","2","1","0","1","0","8","0","0","8","0","55","72","2","1","16","0","1","1","0","8","7","0","1","0","0","0","8","0","0","0","18","0","3","0","2","1","0","0","0","0","0","0"
"L1785","general","org.eclipse.sed.ifl.general","L107","L103","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","7","14","21","0","0","0","0","3","4","0","0","4","1","14","21","0","0","16","0","3","0","3","4","0","0","0","0","3","0","4","1","0","0","17","0","0","0","0","0","0","0","0","0","0","0"
"L1798","ide","org.eclipse.sed.ifl.ide","L107","L103","0.087038","18","53","47","0","0","0","0","0.181818","0.116883","9","2","9","0.0786517","0.0419287","140","14","164","68","97","5","1","0","4","0","11","1","4","10","2","3199","4194","212","74","25","3","25","49","1","310","1468","19","22","3","1","9","249","23","0","3","1315","52","269","23","157","83","30","9","20","2","0","0"
"L3309","model","org.eclipse.sed.ifl.model","L107","L103","0.0382294","3","49","7","0","0","0","0","0","0","0","0","6","0.00952381","0.0357143","47","2","208","19","34","0","3","0","0","1","2","0","5","2","0","1269","1704","63","46","26","2","50","69","5","175","427","5","45","2","5","10","158","15","0","4","559","13","109","14","74","32","2","2","0","2","0","0"
"L4023","util","org.eclipse.sed.ifl.util","L107","L103","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0384615","0.0712531","29","3","75","69","94","2","4","0","0","0","14","0","6","13","0","378","542","16","16","23","0","17","9","7","61","108","0","15","0","7","7","59","5","0","3","182","7","30","1","21","13","0","5","0","0","0","0"
"L4470","view","org.eclipse.sed.ifl.view","L107","L103","0.152036","2","6","6","0","0","0","0","0","0.00169492","1","0","92","0","0.00169492","1","0","92","589","807","65","11","0","3","1","90","0","0","86","11","589","807","65","11","16","0","11","3","1","90","181","0","10","0","1","0","86","11","0","0","288","5","124","6","61","55","7","0","0","0","0","0"
